Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
EarHT	149	1.8724832214765101	2335.9537109197036	103.34045847636757	210.35907011835968
EarHT	146	1.9109589041095891	2335.0986397119646	105.43141862465234	209.7663732934761
EarHT	143	1.951048951048951	2334.2561458158816	107.78935048711831	209.22901446581596
EarHT	140	1.9928571428571429	2334.5973408652417	105.98790608731318	212.92935995244105
EarHT	137	2.0364963503649633	2334.7526663650674	105.68337951619054	214.92446800623134
EarHT	134	2.082089552238806	2333.18364202511	109.31884791741871	212.76947391914285
EarHT	132	2.1136363636363638	2334.1719626065446	106.2753718021937	216.81437292663335
EarHT	129	2.1627906976744184	2339.2062991025223	98.29131316323304	228.7923430749282
EarHT	126	2.2142857142857144	2340.1241783347537	97.1629171798869	232.188580545686
EarHT	124	2.25	2346.041611662923	91.97246108567774	243.24732651040227
EarHT	121	2.3057851239669422	2347.8572991125275	87.94539634047919	249.28460116343248
EarHT	119	2.3445378151260505	2348.3274532156665	86.5056356172839	251.4915949879383
EarHT	117	2.3846153846153846	2347.386455674802	89.25975589569471	249.75118601958886
EarHT	114	2.4473684210526314	2347.40168453045	89.37462742413192	251.20410894316336
EarHT	112	2.4910714285714284	2346.5813657956705	92.05766432236481	249.75738309930173
EarHT	110	2.536363636363636	2347.3623563319247	92.03216842641191	251.7792126117534
EarHT	107	2.607476635514019	2346.0863393696227	94.70856073820852	250.51884821061876
EarHT	105	2.657142857142857	2346.308884155719	95.43899550211529	251.4323020512392
EarHT	103	2.70873786407767	2345.5875529070154	98.08614399842564	250.55534944905875
EarHT	101	2.762376237623762	2345.7421955567297	96.41680338813376	252.88064375392716
EarHT	99	2.8181818181818183	2344.727486042638	99.93307259821847	251.21583430058985
EarHT	97	2.8762886597938144	2343.7681216326346	102.92149175249668	249.87021774590835
EarHT	95	2.9368421052631577	2344.1730744309193	103.13277958811308	251.1836488492462
EarHT	93	3.0	2344.5732182578085	105.08965533613457	252.22259652649402
EarHT	91	3.065934065934066	2344.229612693341	106.99360735294545	252.176198398682
EarHT	90	3.1	2343.8783503902614	107.92453133396711	251.98383655465616
EarHT	88	3.1704545454545454	2343.734599434765	109.67029245413681	252.166375488751
EarHT	86	3.244186046511628	2342.519808492027	113.82255183796552	250.39128691357988
EarHT	84	3.3214285714285716	2342.814335910498	113.18101927032113	252.40862166598117
EarHT	83	3.36144578313253	2342.3010746316454	115.17669572818988	251.68356908801923
EarHT	81	3.4444444444444446	2341.5531764988186	118.56073745518138	250.98768120728909
EarHT	79	3.5316455696202533	2342.5045800151547	118.27559725530752	253.50038297152756
EarHT	78	3.576923076923077	2341.9038303010793	120.60478601610524	252.68141594401098
EarHT	76	3.6710526315789473	2340.773371366627	124.04658091603176	251.71876874515027
EarHT	75	3.72	2340.2891707354315	126.17496745265628	251.12194381930388
EarHT	73	3.8219178082191783	2338.6252121774396	131.92219883573264	249.31327814933806
EarHT	72	3.875	2359.5042706915847	107.5248934081715	281.76582411673616
EarHT	70	3.9857142857142858	2358.126059526637	113.9833629686366	279.2672482346219
EarHT	69	4.043478260869565	2358.0586925002217	114.72631666133627	279.47204722354786
EarHT	67	4.164179104477612	2361.6155689966445	102.99426542984804	288.62672253849587
EarHT	66	4.2272727272727275	2361.2077997044044	105.26039598660226	287.94063561789415
EarHT	65	4.292307692307692	2360.804713101921	108.47326207984278	287.2928201413419
EarHT	63	4.428571428571429	2359.8616006452157	114.69878131078151	285.5282310730252
EarHT	62	4.5	2359.3148060993403	118.35624657025069	284.4748784258046
EarHT	61	4.573770491803279	2359.0512373345186	116.91057781678971	285.2430160408695
EarHT	60	4.65	2359.7774802941926	115.23672670531496	287.26266742289937
EarHT	58	4.810344827586207	2359.751271280484	117.48634495121196	287.8673626956891
EarHT	57	4.894736842105263	2359.086987890733	121.59394125222363	286.65750856995123
EarHT	56	4.982142857142857	2358.5198664406744	125.5311195061969	285.64261061206787
EarHT	55	5.072727272727272	2357.7910390849693	129.42264892492594	284.5226021811346
EarHT	54	5.166666666666667	2357.32686783627	132.9971482992063	283.7973079123942
EarHT	53	5.264150943396227	2357.4732827294165	133.3500165831448	284.5852067020302
EarHT	52	5.365384615384615	2359.5573627557387	124.36735787115397	289.8244797445547
EarHT	51	5.470588235294118	2359.024136649024	128.30949957886986	288.9375098869229
EarHT	50	5.58	2358.4080028284034	132.88682634076892	287.9041027279099
EarHT	49	5.6938775510204085	2357.8279705764767	137.22690544696056	286.9541987773002
EarHT	48	5.8125	2357.2263723400984	141.7319555408046	286.05010230523885
EarHT	47	5.9361702127659575	2356.746054442352	145.21691577412724	285.5059612524269
EarHT	46	6.065217391304348	2356.031757890938	149.96845235746932	284.56902168156313
EarHT	45	6.2	2355.5795861350693	154.10472953233491	284.0739579574843
EarHT	44	6.340909090909091	2354.8750313384994	159.83762422313526	283.0417198198621
EarHT	43	6.488372093023256	2359.0538226821645	149.98320027019489	290.9427034079717
EarHT	42	6.642857142857143	2358.2751181751178	156.23249531403852	289.8011925150073
EarHT	41	6.804878048780488	2357.2416459590936	163.01107637937272	288.44295989736986
EarHT	40	6.975	2357.156571332398	166.4309684996366	288.6271648624913
EarHT	39	7.153846153846154	2357.4433314056864	165.65365573323413	289.8090431439618
EarHT	38	7.342105263157895	2357.1828505780904	169.30013497523154	289.93883423807563
